Edad,Edad_2,Total,Hombres,Mujeres
Menores de 1 año (*),< 1 año,262.377,285.392,238.196
De 1 a 4 años,1-4,11.61,14.05,9.027
De 5 a 9 años,5-9,6.01,5.619,6.425
De 10 a 14 años,10-14,7.448,8.321,6.517
De 15 a 19 años,15-19,15.658,19.347,11.712
De 20 a 24 años,20-24,25.651,37.631,13.049
De 25 a 29 años,25-29,32.411,45.085,19.396
De 30 a 34 años,30-34,44.298,61.417,27.2
De 35 a 39 años,35-39,59.32,77.019,41.794
De 40 a 44 años,40-44,90.699,115.286,65.828
De 45 a 49 años,45-49,154.783,198.669,110.155
De 50 a 54 años,50-54,282.036,375.849,188.584
De 55 a 59 años,55-59,466.376,630.53,307.214
De 60 a 64 años,60-64,740.348,1031.89,465.41
De 65 a 69 años,65-69,1119.29,1595.85,684.961
De 70 a 74 años,70-74,1750.03,2490.70,1113.10
De 75 a 79 años,75-79,2961.89,4099.34,2053.67
De 80 a 84 años,80-84,5731.41,7461.58,4545.09
De 85 a 89 años,85-89,10801.98,13310.22,9348.21
De 90 a 94 años,90-94,19745.94,22967.67,18287.18
De 95 años y mñs,95+,33185.69,34617.43,32699.10
